Date,Country,State,Activity,Sex,Age,Deceased,standarized_country,Month,Year,Decade,Season
2017-06-01,bahamas,NEW PROVIDENCE,diving,F,32.0,N,Bahamas,June,2017.0,2010.0,Summer
2017-05-01,usa,SOUTH CAROLINA,Unspecific,F,20.0,N,United States,May,2017.0,2010.0,Spring
2017-05-01,usa,FLORIDA,Unspecific,M,,N,United States,May,2017.0,2010.0,Spring
2017-05-01,australia,NEW SOUTH WALES,fishing,M,73.0,N,Australia,May,2017.0,2010.0,Autumn
2017-05-01,united arab emirates,"SHARJAH,",fishing,M,41.0,N,United Arab Emirates,May,2017.0,2010.0,Spring
2017-05-01,australia,QUEENSLAND,Unspecific,M,29.0,N,Australia,May,2017.0,2010.0,Autumn
2017-05-01,mexico,BAJA CALIFORNIA SUR,diving,M,33.0,Y,Mexico,May,2017.0,2010.0,Spring
2017-05-01,usa,CALIFORNIA,surfing,F,18.0,UNKNOWN,United States,May,2017.0,2010.0,Spring
2017-04-01,usa,CALIFORNIA,swimming,F,,N,United States,April,2017.0,2010.0,Spring
2017-04-01,south africa,WESTERN CAPE PROVINCE,surfing,M,14.0,N,South Africa,April,2017.0,2010.0,Autumn
2017-04-01,usa,SOUTH CAROLINA,surfing,F,33.0,N,United States,April,2017.0,2010.0,Spring
2017-04-01,reunion,SAINT-LEU,boarding,M,28.0,Y,Reunion,April,2017.0,2010.0,Unknown
2017-04-01,new zealand,SOUTH ISLAND,boarding,F,,N,New Zealand,April,2017.0,2010.0,Autumn
2017-04-01,usa,FLORIDA,Unspecific,F,,UNKNOWN,United States,April,2017.0,2010.0,Spring
2017-04-01,"st helena, british overseas territory",ASCENSION ISLAND,diving,F,40.0,N,United Kingdom,April,2017.0,2010.0,Spring
2017-04-01,usa,SOUTH CAROLINA,swimming,M,,UNKNOWN,United States,April,2017.0,2010.0,Spring
2017-04-01,usa,FLORIDA,Unspecific,UNKNOWN,,N,United States,April,2017.0,2010.0,Spring
2017-04-01,australia,WESTERN AUSTRALIA,surfing,F,17.0,Y,Australia,April,2017.0,2010.0,Autumn
2017-04-01,usa,HAWAII,surfing,M,28.0,N,United States,April,2017.0,2010.0,Spring
2017-04-01,usa,FLORIDA,surfing,M,17.0,N,United States,April,2017.0,2010.0,Spring
2017-04-01,usa,FLORIDA,surfing,F,,N,United States,April,2017.0,2010.0,Spring
2017-04-01,south africa,KWAZULU-NATAL,diving,M,68.0,UNKNOWN,South Africa,April,2017.0,2010.0,Autumn
2017-04-01,usa,FLORIDA,surfing,F,35.0,N,United States,April,2017.0,2010.0,Spring
2017-04-01,usa,FLORIDA,kayaking,F,10.0,N,United States,April,2017.0,2010.0,Spring
2017-04-01,usa,FLORIDA,swimming,F,21.0,N,United States,April,2017.0,2010.0,Spring
2017-04-01,usa,FLORIDA,swimming,M,16.0,N,United States,April,2017.0,2010.0,Spring
2017-04-01,usa,FLORIDA,swimming,F,51.0,N,United States,April,2017.0,2010.0,Spring
2017-04-01,australia,QUEENSLAND,Unspecific,M,39.0,N,Australia,April,2017.0,2010.0,Autumn
2017-04-01,usa,FLORIDA,swimming,F,17.0,N,United States,April,2017.0,2010.0,Spring
2017-03-01,usa,FLORIDA,surfing,M,58.0,N,United States,March,2017.0,2010.0,Spring
2017-03-01,australia,NEW SOUTH WALES,boarding,M,30.0,N,Australia,March,2017.0,2010.0,Autumn
2017-03-01,usa,CALIFORNIA,kayaking,M,,N,United States,March,2017.0,2010.0,Spring
2017-03-01,philippines,LUZON ISLAND,fishing,M,25.0,N,Philippines,March,2017.0,2010.0,Unknown
2017-03-01,bahamas,THE EXUMA CAYS,Unspecific,M,58.0,N,Bahamas,March,2017.0,2010.0,Spring
2017-03-01,mexico,TAMAULIPAS,fishing,M,,N,Mexico,March,2017.0,2010.0,Spring
2017-03-01,bahamas,THE EXUMA CAYS,Unspecific,F,,N,Bahamas,March,2017.0,2010.0,Spring
2017-02-01,australia,WESTERN AUSTRALIA,diving,F,,N,Australia,February,2017.0,2010.0,Summer
2017-02-01,australia,WESTERN AUSTRALIA,surfing,M,,N,Australia,February,2017.0,2010.0,Summer
2017-02-01,reunion,SAINT-ANDRE,boarding,M,26.0,Y,Reunion,February,2017.0,2010.0,Unknown
2017-02-01,australia,QUEENSLAND,fishing,M,26.0,N,Australia,February,2017.0,2010.0,Summer
2017-02-01,usa,FLORIDA,swimming,M,22.0,N,United States,February,2017.0,2010.0,Winter
2017-02-01,brazil,PERNAMBUCO,Unspecific,F,,N,Brazil,February,2017.0,2010.0,Summer
2017-02-01,south africa,KWAZULU-NATAL,fishing,M,,N,South Africa,February,2017.0,2010.0,Summer
2017-02-01,usa,SOUTH CAROLINA,fishing,UNKNOWN,,N,United States,February,2017.0,2010.0,Winter
2017-02-01,bahamas,BIMINI,diving,M,37.0,N,Bahamas,February,2017.0,2010.0,Winter
2017-01-01,brazil,PERNAMBUCO,swimming,M,21.0,N,Brazil,January,2017.0,2010.0,Summer
2017-01-01,usa,FLORIDA,Unspecific,M,,N,United States,January,2017.0,2010.0,Winter
2017-01-01,australia,QUEENSLAND,diving,M,55.0,N,Australia,January,2017.0,2010.0,Summer
2017-01-01,australia,QUEENSLAND,swimming,M,57.0,N,Australia,January,2017.0,2010.0,Summer
2017-01-01,indonesia,BALI,surfing,M,48.0,N,Indonesia,January,2017.0,2010.0,Unknown
2017-01-01,usa,FLORIDA,wading,M,47.0,N,United States,January,2017.0,2010.0,Winter
2017-01-01,australia,NEW SOUTH WALES,wading,M,20.0,UNKNOWN,Australia,January,2017.0,2010.0,Summer
2016-12-01,usa,FLORIDA,surfing,M,16.0,N,United States,December,2016.0,2010.0,Winter
2016-12-01,australia,WESTERN AUSTRALIA,diving,F,,N,Australia,December,2016.0,2010.0,Summer
2016-12-01,south africa,WESTERN CAPE PROVINCE,surfing,M,55.0,N,South Africa,December,2016.0,2010.0,Summer
2016-12-01,australia,WESTERN AUSTRALIA,diving,M,61.0,N,Australia,December,2016.0,2010.0,Summer
2016-12-01,french polynesia,TUAMOTOS,fishing,M,,N,French Polynesia,December,2016.0,2010.0,Unknown
2016-12-01,usa,FLORIDA,surfing,M,19.0,UNKNOWN,United States,December,2016.0,2010.0,Winter
2016-12-01,australia,NEW SOUTH WALES,surfing,M,20.0,N,Australia,December,2016.0,2010.0,Summer
2016-12-01,australia,NEW SOUTH WALES,surfing,M,65.0,N,Australia,December,2016.0,2010.0,Summer
2016-11-01,australia,VICTORIA,fishing,M,73.0,N,Australia,November,2016.0,2010.0,Spring
2016-11-01,usa,HAWAII,Unspecific,F,58.0,N,United States,November,2016.0,2010.0,Autumn
2016-10-01,usa,FLORIDA,surfing,M,41.0,N,United States,October,2016.0,2010.0,Autumn
2016-10-01,usa,FLORIDA,surfing,M,42.0,N,United States,October,2016.0,2010.0,Autumn
2016-10-01,australia,NEW SOUTH WALES,surfing,M,36.0,N,Australia,October,2016.0,2010.0,Spring
2016-10-01,usa,HAWAII,surfing,M,36.0,N,United States,October,2016.0,2010.0,Autumn
2016-10-01,australia,QUEENSLAND,surfing,M,,N,Australia,October,2016.0,2010.0,Spring
2016-10-01,usa,HAWAII,diving,F,66.0,N,United States,October,2016.0,2010.0,Autumn
2016-10-01,mexico,,diving,M,,UNKNOWN,Mexico,October,2016.0,2010.0,Autumn
2016-10-01,australia,NEW SOUTH WALES,surfing,M,25.0,N,Australia,October,2016.0,2010.0,Spring
2016-10-01,usa,OREGON,surfing,M,29.0,N,United States,October,2016.0,2010.0,Autumn
2016-10-01,usa,FLORIDA,surfing,M,21.0,N,United States,October,2016.0,2010.0,Autumn
2016-10-01,usa,FLORIDA,surfing,M,32.0,N,United States,October,2016.0,2010.0,Autumn
2016-09-01,australia,NEW SOUTH WALES,surfing,M,17.0,N,Australia,September,2016.0,2010.0,Spring
2016-09-01,usa,FLORIDA,surfing,M,16.0,N,United States,September,2016.0,2010.0,Autumn
2016-09-01,usa,FLORIDA,surfing,M,36.0,N,United States,September,2016.0,2010.0,Autumn
2016-09-01,usa,FLORIDA,surfing,M,43.0,N,United States,September,2016.0,2010.0,Autumn
2016-09-01,usa,CALIFORNIA,surfing,M,43.0,N,United States,September,2016.0,2010.0,Autumn
2016-09-01,australia,VICTORIA,surfing,M,,N,Australia,September,2016.0,2010.0,Spring
2016-09-01,australia,WESTERN AUSTRALIA,fishing,UNKNOWN,,N,Australia,September,2016.0,2010.0,Spring
2016-09-01,usa,FLORIDA,wading,M,,N,United States,September,2016.0,2010.0,Autumn
2016-09-01,usa,HAWAII,swimming,F,51.0,N,United States,September,2016.0,2010.0,Autumn
2016-09-01,new caledonia,NORTH PROVINCE,surfing,M,50.0,Y,New Caledonia,September,2016.0,2010.0,Unknown
2016-09-01,usa,SOUTH CAROLINA,boarding,F,12.0,N,United States,September,2016.0,2010.0,Autumn
2016-09-01,australia,WESTERN AUSTRALIA,surfing,M,,N,Australia,September,2016.0,2010.0,Spring
2016-09-01,usa,FLORIDA,boarding,M,9.0,N,United States,September,2016.0,2010.0,Autumn
2016-09-01,usa,CALIFORNIA,fishing,M,22.0,N,United States,September,2016.0,2010.0,Autumn
2016-08-01,usa,FLORIDA,surfing,M,25.0,N,United States,August,2016.0,2010.0,Summer
2016-08-01,usa,FLORIDA,surfing,M,37.0,N,United States,August,2016.0,2010.0,Summer
2016-08-01,reunion,,surfing,M,20.0,N,Reunion,August,2016.0,2010.0,Unknown
2016-08-01,usa,FLORIDA,wading,M,49.0,N,United States,August,2016.0,2010.0,Summer
2016-08-01,bahamas,NEW PROVIDENCE ISLAND,diving,M,15.0,N,Bahamas,August,2016.0,2010.0,Summer
2016-08-01,usa,HAWAII,boarding,M,21.0,N,United States,August,2016.0,2010.0,Summer
2016-08-01,usa,FLORIDA,surfing,M,22.0,N,United States,August,2016.0,2010.0,Summer
2016-07-01,spain,ALICANTE PROVINCE,swimming,M,40.0,N,Spain,July,2016.0,2010.0,Summer
2016-07-01,china,HONG KONG,swimming,M,72.0,N,China,July,2016.0,2010.0,Unknown
2016-07-01,australia,WESTERN AUSTRALIA,Unspecific,M,,N,Australia,July,2016.0,2010.0,Winter
2016-07-01,usa,FLORIDA,Unspecific,M,43.0,N,United States,July,2016.0,2010.0,Summer
2016-07-01,australia,NEW SOUTH WALES,surfing,M,18.0,N,Australia,July,2016.0,2010.0,Winter
2016-07-01,japan,KOCHI PREFECTURE,surfing,M,29.0,N,Japan,July,2016.0,2010.0,Unknown
2016-07-01,australia,TASMANIA,surfing,M,36.0,N,Australia,July,2016.0,2010.0,Winter
2016-07-01,bahamas,ABACO ISLANDS,fishing,M,,N,Bahamas,July,2016.0,2010.0,Summer
2016-07-01,australia,QUEENSLAND,fishing,M,31.0,N,Australia,July,2016.0,2010.0,Winter
2016-07-01,usa,ALABAMA,fishing,UNKNOWN,,N,United States,July,2016.0,2010.0,Summer
2016-07-01,usa,FLORIDA,surfing,F,9.0,N,United States,July,2016.0,2010.0,Summer
2016-07-01,usa,FLORIDA,Unspecific,F,11.0,N,United States,July,2016.0,2010.0,Summer
2016-07-01,usa,CALIFORNIA,surfing,M,61.0,N,United States,July,2016.0,2010.0,Summer
2016-07-01,usa,SOUTH CAROLINA,swimming,M,,N,United States,July,2016.0,2010.0,Summer
2016-07-01,bahamas,,diving,M,,N,Bahamas,July,2016.0,2010.0,Summer
2016-07-01,spain,CANARY ISLANDS,wading,F,10.0,N,Spain,July,2016.0,2010.0,Summer
2016-07-01,usa,CALIFORNIA,fishing,M,,N,United States,July,2016.0,2010.0,Summer
2016-07-01,usa,MASSACHUSETTS,fishing,M,59.0,N,United States,July,2016.0,2010.0,Summer
2016-07-01,usa,FLORIDA,swimming,F,42.0,N,United States,July,2016.0,2010.0,Summer
2016-07-01,australia,QUEENSLAND,fishing,M,34.0,N,Australia,July,2016.0,2010.0,Winter
2016-06-01,usa,SOUTH CAROLINA,Unspecific,M,35.0,N,United States,June,2016.0,2010.0,Summer
2016-06-01,usa,NORTH CAROLINA,surfing,M,11.0,N,United States,June,2016.0,2010.0,Summer
2016-06-01,columbia,ISLA PROVIDENCIA,diving,M,59.0,N,Colombia,June,2016.0,2010.0,Unknown
2016-06-01,south africa,WESTERN CAPE PROVINCE,fishing,M,43.0,N,South Africa,June,2016.0,2010.0,Winter
2016-06-01,usa,SOUTH CAROLINA,Unspecific,M,42.0,N,United States,June,2016.0,2010.0,Summer
2016-06-01,usa,FLORIDA,wading,M,,N,United States,June,2016.0,2010.0,Summer
2016-06-01,usa,HAWAII,surfing,M,,N,United States,June,2016.0,2010.0,Summer
2016-06-01,australia,WESTERN AUSTRALIA,fishing,M,19.0,N,Australia,June,2016.0,2010.0,Winter
2016-06-01,usa,TEXAS,Unspecific,F,6.0,N,United States,June,2016.0,2010.0,Summer
2016-06-01,usa,NORTH CAROLINA,Unspecific,M,19.0,N,United States,June,2016.0,2010.0,Summer
2016-06-01,usa,SOUTH CAROLINA,surfing,M,27.0,UNKNOWN,United States,June,2016.0,2010.0,Summer
2016-06-01,usa,FLORIDA,swimming,M,64.0,N,United States,June,2016.0,2010.0,Summer
2016-06-01,australia,WESTERN AUSTRALIA,diving,F,60.0,Y,Australia,June,2016.0,2010.0,Winter
2016-06-01,egypt,SUEZ,swimming,M,23.0,N,Egypt,June,2016.0,2010.0,Unknown
2016-06-01,australia,NEW SOUTH WALES,fishing,M,,UNKNOWN,Australia,June,2016.0,2010.0,Winter
2016-06-01,new caledonia,,surfing,M,,N,New Caledonia,June,2016.0,2010.0,Unknown
2016-05-01,australia,WESTERN AUSTRALIA,surfing,M,29.0,Y,Australia,May,2016.0,2010.0,Autumn
2016-05-01,usa,CALIFORNIA,swimming,F,52.0,N,United States,May,2016.0,2010.0,Spring
2016-05-01,usa,FLORIDA,swimming,M,13.0,N,United States,May,2016.0,2010.0,Spring
2016-05-01,usa,FLORIDA,swimming,F,57.0,N,United States,May,2016.0,2010.0,Spring
2016-05-01,usa,FLORIDA,swimming,F,22.0,N,United States,May,2016.0,2010.0,Spring
2016-05-01,usa,FLORIDA,swimming,F,11.0,N,United States,May,2016.0,2010.0,Spring
2016-05-01,usa,FLORIDA,swimming,M,48.0,N,United States,May,2016.0,2010.0,Spring
2016-05-01,usa,FLORIDA,Unspecific,F,23.0,N,United States,May,2016.0,2010.0,Spring
2016-05-01,usa,HAWAII,Unspecific,M,59.0,N,United States,May,2016.0,2010.0,Spring
2016-05-01,new zealand,NORTH ISLAND,fishing,M,39.0,N,New Zealand,May,2016.0,2010.0,Autumn
,usa,LOUISIANA,wading,F,33.0,N,United States,,,,Unknown
2016-04-01,indonesia,BALI,surfing,M,24.0,N,Indonesia,April,2016.0,2010.0,Unknown
2016-04-01,usa,FLORIDA,surfing,M,15.0,N,United States,April,2016.0,2010.0,Spring
2016-04-01,south africa,WESTERN CAPE PROVINCE,surfing,M,,N,South Africa,April,2016.0,2010.0,Autumn
2016-04-01,australia,NEW SOUTH WALES,swimming,M,12.0,N,Australia,April,2016.0,2010.0,Autumn
2016-04-01,french polynesia,TUAMOTOS,fishing,M,22.0,UNKNOWN,French Polynesia,April,2016.0,2010.0,Unknown
2016-04-01,french polynesia,TUAMOTOS,fishing,M,26.0,N,French Polynesia,April,2016.0,2010.0,Unknown
2016-04-01,usa,FLORIDA,fishing,M,26.0,N,United States,April,2016.0,2010.0,Spring
2016-04-01,new caledonia,GRAND TERRE,Unspecific,F,69.0,Y,New Caledonia,April,2016.0,2010.0,Unknown
2016-04-01,cape verde,BOA VISTA ISLAND,Unspecific,M,60.0,UNKNOWN,Cape Verde,April,2016.0,2010.0,Unknown
2016-04-01,usa,FLORIDA,fishing,M,34.0,N,United States,April,2016.0,2010.0,Spring
2016-04-01,usa,FLORIDA,Unspecific,M,,UNKNOWN,United States,April,2016.0,2010.0,Spring
2016-03-01,usa,HAWAII,diving,F,46.0,N,United States,March,2016.0,2010.0,Spring
2016-03-01,australia,NEW SOUTH WALES,surfing,M,22.0,N,Australia,March,2016.0,2010.0,Autumn
2016-03-01,usa,FLORIDA,Unspecific,M,,UNKNOWN,United States,March,2016.0,2010.0,Spring
2016-03-01,australia,NEW SOUTH WALES,surfing,M,41.0,N,Australia,March,2016.0,2010.0,Autumn
2016-03-01,bahamas,,Unspecific,M,9.0,N,Bahamas,March,2016.0,2010.0,Spring
2016-03-01,usa,CALIFORNIA,surfing,UNKNOWN,,UNKNOWN,United States,March,2016.0,2010.0,Spring
2016-03-01,usa,FLORIDA,surfing,M,19.0,N,United States,March,2016.0,2010.0,Spring
2016-03-01,fiji,VANUA LEVU,diving,M,45.0,Y,Fiji,March,2016.0,2010.0,Autumn
2016-03-01,usa,FLORIDA,Unspecific,M,12.0,N,United States,March,2016.0,2010.0,Spring
2016-03-01,australia,SOUTH AUSTRALIA,fishing,M,,N,Australia,March,2016.0,2010.0,Autumn
2016-03-01,brazil,SANTA CATARINA STATE,swimming,M,41.0,N,Brazil,March,2016.0,2010.0,Autumn
2016-02-01,new caledonia,SOUTH PROVINCE,surfing,M,21.0,N,New Caledonia,February,2016.0,2010.0,Unknown
2016-02-01,new caledonia,SOUTH PROVINCE,fishing,M,31.0,N,New Caledonia,February,2016.0,2010.0,Unknown
2016-02-01,dominican republic,ALTAGRACIA PROVINCE,wading,F,,N,Dominican Republic,February,2016.0,2010.0,Winter
2016-02-01,cayman islands,GRAND CAYMAN,Unspecific,M,65.0,UNKNOWN,Cayman Islands,February,2016.0,2010.0,Unknown
2016-02-01,australia,TASMANIA,surfing,M,,UNKNOWN,Australia,February,2016.0,2010.0,Summer
2016-02-01,australia,QUEENSLAND,Unspecific,F,45.0,N,Australia,February,2016.0,2010.0,Summer
2016-02-01,australia,NEW SOUTH WALES,surfing,M,40.0,N,Australia,February,2016.0,2010.0,Summer
2016-02-01,brazil,BALNEÁRIO CAMBORIÚ,swimming,M,41.0,N,Brazil,February,2016.0,2010.0,Summer
2016-01-01,south africa,KWAZULU-NATAL,fishing,M,,N,South Africa,January,2016.0,2010.0,Summer
2016-01-01,usa,HAWAII,surfing,M,,N,United States,January,2016.0,2010.0,Winter
2016-01-01,usa,HAWAII,surfing,F,15.0,N,United States,January,2016.0,2010.0,Winter
2016-01-01,usa,TEXAS,fishing,M,,N,United States,January,2016.0,2010.0,Winter
2016-01-01,united arab emirates,FUJAIRAH EMIRATE,fishing,M,,N,United Arab Emirates,January,2016.0,2010.0,Winter
2016-01-01,usa,HAWAII,kayaking,M,48.0,N,United States,January,2016.0,2010.0,Winter
2016-01-01,australia,QUEENSLAND,surfing,M,,N,Australia,January,2016.0,2010.0,Summer
2016-01-01,australia,QUEENSLAND,wading,M,11.0,N,Australia,January,2016.0,2010.0,Summer
2016-01-01,australia,QUEENSLAND,fishing,M,31.0,N,Australia,January,2016.0,2010.0,Summer
2015-12-01,south africa,KWAZULU-NATAL,fishing,M,,N,South Africa,December,2015.0,2010.0,Summer
2015-12-01,spain,GRAND CANARY ISLAND,swimming,F,38.0,N,Spain,December,2015.0,2010.0,Winter
2015-12-01,usa,HAWAII,kayaking,M,71.0,N,United States,December,2015.0,2010.0,Winter
2015-12-01,australia,NEW SOUTH WALES,surfing,M,43.0,N,Australia,December,2015.0,2010.0,Summer
2015-12-01,brazil,PERNAMBUCO,diving,M,32.0,N,Brazil,December,2015.0,2010.0,Summer
2015-12-01,aruba,,Unspecific,M,58.0,Y,Aruba,December,2015.0,2010.0,Unknown
2015-12-01,australia,NEW SOUTH WALES,fishing,UNKNOWN,,N,Australia,December,2015.0,2010.0,Summer
2015-12-01,bahamas,,fishing,M,26.0,N,Bahamas,December,2015.0,2010.0,Winter
2015-12-01,south africa,EASTERN CAPE PROVINCE,swimming,F,22.0,N,South Africa,December,2015.0,2010.0,Summer
2015-11-01,ecuador,GALAPAGOS ISLANDS,diving,M,55.0,N,Ecuador,November,2015.0,2010.0,Unknown
2015-11-01,usa,FLORIDA,surfing,M,,N,United States,November,2015.0,2010.0,Autumn
2015-11-01,usa,FLORIDA,swimming,F,,N,United States,November,2015.0,2010.0,Autumn
2015-11-01,usa,FLORIDA,surfing,M,28.0,N,United States,November,2015.0,2010.0,Autumn
2015-11-01,australia,NEW SOUTH WALES,surfing,M,20.0,N,Australia,November,2015.0,2010.0,Spring
2015-11-01,usa,FLORIDA,surfing,F,9.0,UNKNOWN,United States,November,2015.0,2010.0,Autumn
2015-11-01,usa,HAWAII,swimming,M,54.0,N,United States,November,2015.0,2010.0,Autumn
2015-11-01,usa,FLORIDA,wading,F,28.0,N,United States,November,2015.0,2010.0,Autumn
2015-11-01,mozambique,INHAMBANE PROVINCE,fishing,M,19.0,N,Mozambique,November,2015.0,2010.0,Spring
2015-10-01,australia,WESTERN AUSTRALIA,fishing,M,50.0,N,Australia,October,2015.0,2010.0,Spring
2015-10-01,usa,HAWAII,boarding,M,10.0,N,United States,October,2015.0,2010.0,Autumn
2015-10-01,south africa,WESTERN CAPE PROVINCE,surfing,M,42.0,N,South Africa,October,2015.0,2010.0,Spring
2015-10-01,usa,FLORIDA,surfing,M,21.0,N,United States,October,2015.0,2010.0,Autumn
2015-10-01,mozambique,INHAMBANE PROVINCE,fishing,F,35.0,Y,Mozambique,October,2015.0,2010.0,Spring
2015-10-01,usa,HAWAII,surfing,M,32.0,UNKNOWN,United States,October,2015.0,2010.0,Autumn
2015-10-01,usa,HAWAII,swimming,M,44.0,N,United States,October,2015.0,2010.0,Autumn
2015-10-01,usa,CALIFORNIA,fishing,M,,N,United States,October,2015.0,2010.0,Autumn
2015-10-01,usa,SOUTH CAROLINA,boarding,F,9.0,N,United States,October,2015.0,2010.0,Autumn
2015-10-01,usa,HAWAII,surfing,M,25.0,N,United States,October,2015.0,2010.0,Autumn
2015-10-01,mozambique,INHAMBANE PROVINCE,fishing,M,,N,Mozambique,October,2015.0,2010.0,Spring
2015-10-01,australia,WESTERN AUSTRALIA,surfing,M,18.0,N,Australia,October,2015.0,2010.0,Spring
2015-10-01,usa,FLORIDA,boarding,M,22.0,N,United States,October,2015.0,2010.0,Autumn
2015-10-01,usa,TEXAS,wading,M,13.0,N,United States,October,2015.0,2010.0,Autumn
2015-10-01,usa,FLORIDA,surfing,M,14.0,N,United States,October,2015.0,2010.0,Autumn
2015-09-01,usa,FLORIDA,surfing,M,22.0,N,United States,September,2015.0,2010.0,Autumn
2015-09-01,australia,QUEENSLAND,diving,F,7.0,N,Australia,September,2015.0,2010.0,Spring
2015-09-01,usa,CALIFORNIA,fishing,M,,N,United States,September,2015.0,2010.0,Autumn
2015-09-01,usa,FLORIDA,surfing,M,14.0,N,United States,September,2015.0,2010.0,Autumn
2015-09-01,usa,HAWAII,fishing,M,27.0,N,United States,September,2015.0,2010.0,Autumn
2015-09-01,usa,FLORIDA,wading,M,12.0,N,United States,September,2015.0,2010.0,Autumn
2015-09-01,usa,FLORIDA,fishing,M,16.0,N,United States,September,2015.0,2010.0,Autumn
2015-09-01,usa,FLORIDA,swimming,M,,N,United States,September,2015.0,2010.0,Autumn
2015-09-01,usa,FLORIDA,surfing,M,20.0,N,United States,September,2015.0,2010.0,Autumn
2015-09-01,australia,NEW SOUTH WALES,surfing,M,42.0,N,Australia,September,2015.0,2010.0,Spring
2015-09-01,usa,CALIFORNIA,kayaking,F,50.0,N,United States,September,2015.0,2010.0,Autumn
2015-09-01,usa,CALIFORNIA,fishing,M,29.0,N,United States,September,2015.0,2010.0,Autumn
2015-09-01,australia,NEW SOUTH WALES,surfing,M,62.0,N,Australia,September,2015.0,2010.0,Spring
2015-09-01,usa,SOUTH CAROLINA,Unspecific,M,,N,United States,September,2015.0,2010.0,Autumn
2015-09-01,thailand,PHUKET,wading,F,37.0,N,Thailand,September,2015.0,2010.0,Unknown
2015-09-01,fiji,,fishing,M,,N,Fiji,September,2015.0,2010.0,Spring
2015-08-01,usa,CALIFORNIA,surfing,F,54.0,N,United States,August,2015.0,2010.0,Summer
2015-08-01,usa,CALIFORNIA,surfing,M,21.0,N,United States,August,2015.0,2010.0,Summer
