Date,Country,State,Activity,Sex,Age,Deceased,Month,Year
2021-11-01,usa,HAWAII,fishing,F,27.0,N,November,2021.0
2021-11-01,australia,WESTERN AUSTRALIA,swimming,M,57.0,Y,November,2021.0
2021-11-01,brazil,SÃO PAULO.,swimming,M,,N,November,2021.0
2021-11-01,new zealand,NORTH ISLAND,surfing,M,26.0,N,November,2021.0
2021-10-01,australia,QUEENSLAND,fishing,M,26.0,UNKNOWN,October,2021.0
2021-10-01,australia,QUEENSLAND,swimming,M,34.0,N,October,2021.0
2021-10-01,usa,FLORIDA,surfing,M,25.0,N,October,2021.0
2021-10-01,usa,FLORIDA,swimming,M,,N,October,2021.0
2021-10-01,usa,CALIFORNIA,surfing,M,38.0,N,October,2021.0
2021-09-01,egypt,,swimming,M,,UNKNOWN,September,2021.0
2021-09-01,usa,FLORIDA,surfing,M,,N,September,2021.0
2021-09-01,australia,NEW SOUTH WALES,surfing,M,31.0,Y,September,2021.0
2021-09-01,british overseas territory,TURKS AND CAICOS,Unspecific,M,,N,September,2021.0
2021-09-01,usa,LOUISIANA,fishing,M,64.0,N,September,2021.0
2021-08-01,usa,TEXAS,boarding,M,,N,August,2021.0
2021-08-01,usa,FLORIDA,surfing,M,41.0,N,August,2021.0
2021-08-01,canada,NOVA SCOTIA,swimming,F,21.0,N,August,2021.0
2021-08-01,australia,QUEENSLAND,Unspecific,M,,N,August,2021.0
2021-08-01,usa,FLORIDA,surfing,M,35.0,N,August,2021.0
2021-08-01,usa,FLORIDA,diving,M,15.0,N,August,2021.0
2021-08-01,usa,SOUTH CAROLINA,Unspecific,M,,N,August,2021.0
2021-08-01,usa,MARYLAND,swimming,F,12.0,N,August,2021.0
2021-07-01,usa,FLORIDA,fishing,M,47.0,N,July,2021.0
2021-07-01,usa,NORTH CAROLINA,Unspecific,M,15.0,N,July,2021.0
2021-07-01,usa,GEORGIA,surfing,M,58.0,N,July,2021.0
2021-07-01,australia,WESTERN AUSTRALIA,fishing,M,34.0,N,July,2021.0
2021-07-01,usa,NEW YORK,swimming,M,,N,July,2021.0
2021-07-01,brazil,PERNAMBUCO,Unspecific,M,32.0,N,July,2021.0
2021-07-01,thailand,CHANTHABURI PROVINCE,Unspecific,M,55.0,N,July,2021.0
2021-07-01,usa,CALIFORNIA,surfing,F,,N,July,2021.0
2021-07-01,usa,FLORIDA,Unspecific,F,35.0,N,July,2021.0
2021-07-01,australia,WESTERN AUSTRALIA,surfing,M,,N,July,2021.0
2021-07-01,usa,FLORIDA,boarding,M,11.0,N,July,2021.0
2021-07-01,south africa,EASTERN CAPE PROVINCE,surfing,M,38.0,N,July,2021.0
2021-07-01,bahamas,,Unspecific,M,,N,July,2021.0
2021-07-01,usa,FLORIDA,Unspecific,F,9.0,N,July,2021.0
2021-07-01,usa,FLORIDA,fishing,M,36.0,Y,July,2021.0
2021-07-01,brazil,PERNAMBUCO,wading,M,51.0,Y,July,2021.0
2021-07-01,australia,NEW SOUTH WALES,surfing,M,25.0,N,July,2021.0
2021-07-01,usa,FLORIDA,Unspecific,M,8.0,N,July,2021.0
2021-07-01,usa,BAHAMAS,fishing,F,19.0,N,July,2021.0
2021-07-01,ecuador,GALAPAGOS,diving,M,31.0,N,July,2021.0
2021-06-01,usa,CALIFORNIA,kayaking,M,15.0,N,June,2021.0
2021-06-01,usa,FLORIDA,surfing,F,,UNKNOWN,June,2021.0
2021-06-01,usa,NORTH CAROLINA,swimming,F,7.0,N,June,2021.0
2021-06-01,usa,CALIFORNIA,swimming,M,38.0,N,June,2021.0
2021-06-01,jordan,AQABA,Unspecific,M,36.0,N,June,2021.0
2021-06-01,australia,WESTERN AUSTRALIA,surfing,M,25.0,N,June,2021.0
